level,topic,subtopic,question label
3,ESRS E5,E5-4,Information about materials used to manufacture products and services
4,ESRS E5,E5-4,Total products and technical and biological materials used
4,ESRS E5,E5-4,Percentage of biological materials used to manufacture products and services that are sustainably sourced
4,ESRS E5,E5-4,Information about certification scheme used and application of cascading principle (resource inflows)
4,ESRS E5,E5-4,"Secondary reused or recycled components, secondary intermediary products and secondary materials used to manufacture products and services"
4,ESRS E5,E5-4,"Percentage of secondary reused or recycled components, secondary intermediary products and secondary materials used to manufacture products and services"
4,ESRS E5,E5-4,Description of materials that are sourced from by-products or waste stream
3,ESRS E5,E5-4,"Description of how double counting was avoided for reused, recycled categories and choices made"
3,ESRS E5,E5-4,Description of methodologies used to calculate data and key assumptions used (resource inflows)
3,ESRS E5,E5-4,Data sources (resource inflows)
1,ESRS E5,E5-1,Minimum Disclosure Requirement - policies related to resource use and circular economy
2,ESRS E5,E5-1,Name or identifier of policy
2,ESRS E5,E5-1,Sustainability matters addressed by policy for resource use and circular economy
2,ESRS E5,E5-1,"Name or identifier of related impacts, risks and opportunities"
2,ESRS E5,E5-1,Description of key contents of policy
2,ESRS E5,E5-1,Description of scope of policy or of its exclusions
2,ESRS E5,E5-1,Description of most senior level in organisation that is accountable for implementation of policy
2,ESRS E5,E5-1,Disclosure of third-party standards or initiatives that are respected through implementation of policy
2,ESRS E5,E5-1,Description of consideration given to interests of key stakeholders in setting policy
2,ESRS E5,E5-1,Policy is made available to potentially affected stakeholders and stakeholders who need to help implement it
3,ESRS E5,E5-1,Explanation of how policy is made available to potentially affected stakeholders and stakeholders who need to help implement it
2,ESRS E5,E5-1,Policy addresses transitioning away from use of virgin resources
3,ESRS E5,E5-1,Disclosure of how policy addresses transitioning away from use of virgin resources
2,ESRS E5,E5-1,Policy addresses sustainable sourcing and use of renewable resources
3,ESRS E5,E5-1,Disclosure of how policy addresses sustainable sourcing and use of renewable resources
2,ESRS E5,E5-1,Layer in waste hierarchy that policy addresses
3,ESRS E5,E5-1,Description of how policy addresses waste hierarchy
2,ESRS E5,E5-1,Policy addresses prioritisation of avoidance or minimisation waste over waste treatment
3,ESRS E5,E5-1,Disclosure of how policy addresses prioritisation of avoidance or minimisation waste over waste treatment
1,ESRS E5,E5.IRO-1,"Assets and activities have been screened in order to identify actual and potential impacts, risks and opportunities in own operations and upstream and downstream value chain"
1,ESRS E5,E5.IRO-1,"Information about methodologies, assumptions and tools used to screen assets and activities in order to identify actual and potential impacts, risks and opportunities in own operations and value chain (resource use and circular economy)"
1,ESRS E5,E5.IRO-1,Consultations have been conducted (resource use and circular economy)
2,ESRS E5,E5.IRO-1,Disclosure of how consultations have been conducted (resource use and circular economy)
1,ESRS E5,E5-3,Minimum Disclosure Requirement - targets related to resource use and circular economy
2,ESRS E5,E5-3,Disclosure of measurable outcome-oriented and time-bound target
3,ESRS E5,E5-3,Name or identifier of target
3,ESRS E5,E5-3,"Name or identifier of related impacts, risks and opportunities"
3,ESRS E5,E5-3,Name or identifier of related policy
3,ESRS E5,E5-3,Measurable target (absolute value)
3,ESRS E5,E5-3,Measurable target (percentage)
3,ESRS E5,E5-3,Absolute or relative target
3,ESRS E5,E5-3,ESRS metric(s) used for target
3,ESRS E5,E5-3,Description of scope of target
3,ESRS E5,E5-3,Baseline value of measurable target (absolute value)
3,ESRS E5,E5-3,Baseline value of measurable target (percentage)
3,ESRS E5,E5-3,Base year from which progress is measured
3,ESRS E5,E5-3,Period to which target applies
3,ESRS E5,E5-3,Indication of milestones or interim targets
3,ESRS E5,E5-3,Description of methodologies and significant assumptions used to define target
3,ESRS E5,E5-3,Target related to environmental matters is based on conclusive scientific evidence
3,ESRS E5,E5-3,Stakeholders have been involved in target setting
4,ESRS E5,E5-3,Disclosure of how stakeholders have been involved in target setting
3,ESRS E5,E5-3,"Description of any changes in target and corresponding metrics or underlying measurement methodologies, significant assumptions, limitations, sources and adopted processes to collect data"
3,ESRS E5,E5-3,Description of performance against disclosed target
4,ESRS E5,E5-3,Measurable target current progress (absolute value)
4,ESRS E5,E5-3,Measurable target current progress (percentage)
4,ESRS E5,E5-3,Progress is in line with what had been initially planned
3,ESRS E5,E5-3,Target relates to resource inflows (resource use and circular economy)
4,ESRS E5,E5-3,Disclosure of how target relates to resource inflows (resource use and circular economy)
3,ESRS E5,E5-3,Target relates to resource outflows (resource use and circular economy)
4,ESRS E5,E5-3,Disclosure of how target relates to resource outflows (resource use and circular economy)
3,ESRS E5,E5-3,Target relates to increase of circular product design
4,ESRS E5,E5-3,Disclosure of how target relates to increase of circular product design
3,ESRS E5,E5-3,Target relates to increase of circular material use rate
4,ESRS E5,E5-3,Disclosure of how target relates to increase of circular material use rate
3,ESRS E5,E5-3,Target relates to minimisation of primary raw material
4,ESRS E5,E5-3,Disclosure of how target relates to minimisation of primary raw material
3,ESRS E5,E5-3,Target relates to sustainable sourcing and use of renewable resources
4,ESRS E5,E5-3,Disclosure of how target relates to sustainable sourcing and use of renewable resources
3,ESRS E5,E5-3,Target relates to waste management
4,ESRS E5,E5-3,Disclosure of how target relates to waste management
3,ESRS E5,E5-3,Target relates to other matters related to resource use or circular economy
4,ESRS E5,E5-3,Disclosure of how target relates to other matters related to resource use or circular economy
3,ESRS E5,E5-3,Layer in waste hierarchy to which target relates
3,ESRS E5,E5-3,Ecological thresholds and entity-specific allocations were taken into consideration when setting resource use and circular economy target
4,ESRS E5,E5-3,Disclosure of ecological thresholds identified and methodology used to identify ecological thresholds (resource use and circular economy)
4,ESRS E5,E5-3,Ecological thresholds are entity-specific (resource use and circular economy)
5,ESRS E5,E5-3,Disclosure of how ecological entity-specific thresholds were determined (resource use and circular economy)
4,ESRS E5,E5-3,Disclosure of how responsibility for respecting identified ecological thresholds is allocated (resource use and circular economy)
3,ESRS E5,E5-3,Resource use and circular economy target is mandatory (required by legislation)
3,ESRS E5,E5-3,Resource use and circular economy-related target addresses shortcomings related to Substantial Contribution criteria for Circular Economy
3,ESRS E5,E5-3,Resource use and circular economy-related target addresses shortcomings related to Do No Significant Harm criteria for Circular Economy
1,ESRS E5,E5-3,Minimum Disclosure Requirement - targets related to resource use and circular economy - targets not adopted
2,ESRS E5,E5-3,Measurable outcome-oriented targets have not been set
3,ESRS E5,E5-3,"Name or identifier of related impacts, risks and opportunities"
3,ESRS E5,E5-3,Measurable outcome-oriented targets will be set
4,ESRS E5,E5-3,Disclosure of timeframe for setting of measurable outcome-oriented targets
3,ESRS E5,E5-3,Description of reasons why there are no plans to set measurable outcome-oriented targets
3,ESRS E5,E5-3,"Effectiveness of policies and actions is tracked in relation to material sustainability-related impact, risk and opportunity"
4,ESRS E5,E5-3,"Description of processes through which effectiveness of policies and actions is tracked in relation to material sustainability-related impact, risk and opportunity"
4,ESRS E5,E5-3,Description of defined level of ambition to be achieved and of any qualitative or quantitative indicators used to evaluate progress
4,ESRS E5,E5-3,Base year from which progress is measured
4,ESRS E5,E5-3,Baseline value against which progress is considered (absolute value)
4,ESRS E5,E5-3,Baseline value against which progress is considered (percentage)
1,ESRS E5,E5-2,Disclosure of actions taken to engage with upstream and downstream value chain and (or) local network on development of collaborations or initiatives increasing circularity of products and materials
1,ESRS E5,E5-2,Minimum Disclosure Requirement - actions related to resource use and circular economy
2,ESRS E5,E5-2,Name or identifier of action (plan)
2,ESRS E5,E5-2,"Name or identifier of related impacts, risks and opportunities"
2,ESRS E5,E5-2,Name or identifier of related policy
2,ESRS E5,E5-2,Disclosure of key action
3,ESRS E5,E5-2,Status of key action
3,ESRS E5,E5-2,Time horizon under which key action is to be completed
3,ESRS E5,E5-2,Year when key action is to be completed
2,ESRS E5,E5-2,Disclosure of expected outcomes of key action and how its implementation contributes to achievement of policy objectives and targets
2,ESRS E5,E5-2,Description of scope of key action
2,ESRS E5,E5-2,Key action is taken to provide for and cooperate in or support provision of remedy for those harmed by actual material impacts
2,ESRS E5,E5-2,Disclosure of quantitative and qualitative information regarding progress of actions or action plans disclosed in prior periods
2,ESRS E5,E5-2,Action covers higher levels of resource efficiency in use of technical and biological materials and water
3,ESRS E5,E5-2,Disclosure of how action covers higher levels of resource efficiency in use of technical and biological materials and water
2,ESRS E5,E5-2,Action covers higher rates of use of secondary raw materials (recyclates)
3,ESRS E5,E5-2,Disclosure of how action covers higher rates of use of secondary raw materials (recyclates)
2,ESRS E5,E5-2,"Action covers application of circular design and higher rates of Reuse, Repair, Refurbishing, Remanufacture, Repurposing and Recycling"
3,ESRS E5,E5-2,"Disclosure of how action covers application of circular design and higher rates of Reuse, Repair, Refurbishing, Remanufacture, Repurposing and Recycling"
2,ESRS E5,E5-2,Action covers application of circular business practices
3,ESRS E5,E5-2,Disclosure of how action covers application of circular business practices
2,ESRS E5,E5-2,Action covers actions taken to prevent waste generation in upstream and downstream value chain
3,ESRS E5,E5-2,Disclosure of how action covers actions taken to prevent waste generation in upstream and downstream value chain
2,ESRS E5,E5-2,Action covers optimisation of waste management in line with waste hierarchy
3,ESRS E5,E5-2,Disclosure of how action covers optimisation of waste management in line with waste hierarchy
1,ESRS E5,E5-2,Minimum Disclosure Requirement - resources related to resource use and circular economy
2,ESRS E5,E5-2,Disclosure of significant operational expenditures (Opex) and (or) capital expenditures (Capex) required for implementation of action plan
3,ESRS E5,E5-2,Name or identifier of action (plan)
3,ESRS E5,E5-2,Description of type of current and future financial and other resources allocated to action plan
3,ESRS E5,E5-2,Ability to implement action or action plan depends on specific preconditions
3,ESRS E5,E5-2,Explanation of how current financial resources relate to most relevant amounts presented in financial statements
3,ESRS E5,E5-2,Resources cover higher levels of resource efficiency in use of technical and biological materials and water
4,ESRS E5,E5-2,Disclosure of how resources cover higher levels of resource efficiency in use of technical and biological materials and water
3,ESRS E5,E5-2,Resources cover higher rates of use of secondary raw materials (recyclates)
4,ESRS E5,E5-2,Disclosure of how resources cover higher rates of use of secondary raw materials (recyclates)
3,ESRS E5,E5-2,"Resources cover application of circular design and higher rates of Reuse, Repair, Refurbishing, Remanufacture, Repurposing and Recycling"
4,ESRS E5,E5-2,"Disclosure of how resources cover application of circular design and higher rates of Reuse, Repair, Refurbishing, Remanufacture, Repurposing and Recycling"
3,ESRS E5,E5-2,Resources cover application of circular business practices
4,ESRS E5,E5-2,Disclosure of how resources cover application of circular business practices
3,ESRS E5,E5-2,Resources cover actions taken to prevent waste generation in upstream and downstream value chain
4,ESRS E5,E5-2,Disclosure of how resources cover actions taken to prevent waste generation in upstream and downstream value chain
3,ESRS E5,E5-2,Resources cover optimisation of waste management in line with waste hierarchy
4,ESRS E5,E5-2,Disclosure of how resources cover optimisation of waste management in line with waste hierarchy
1,ESRS E5,E5-2,Minimum Disclosure Requirement - resources related to resource use and circular economy - detailed
2,ESRS E5,E5-2,Financial resources allocated to action plan (OpEx)
2,ESRS E5,E5-2,Financial resources allocated to action plan (CapEx)
1,ESRS E5,E5-5,"Disclosure of information on resource outflows related to material impacts, risks and opportunities"
2,ESRS E5,E5-5,Resource outflows
3,ESRS E5,E5-5,Description of key products and materials that come out of production process and that are designed along circular principles
3,ESRS E5,E5-5,Total waste generated
3,ESRS E5,E5-5,Total waste generated diverted from disposal
3,ESRS E5,E5-5,Total waste generated directed to disposal
3,ESRS E5,E5-5,Total non-recycled waste
3,ESRS E5,E5-5,Percentage of non-recycled waste
3,ESRS E5,E5-5,Disclosure of composition of waste
3,ESRS E5,E5-5,Disclosure of engagement in product end-of-life waste management
3,ESRS E5,E5-5,Total hazardous waste
3,ESRS E5,E5-5,Total radioactive waste
3,ESRS E5,E5-5,Description of methodologies used to calculate data and key assumptions used (resource outflows)
3,ESRS E5,E5-5,Data sources (resource outflows)
2,ESRS E5,E5-5,Resource outflows - products
3,ESRS E5,E5-5,Disclosure of expected durability of product placed on market in relation to industry average
3,ESRS E5,E5-5,Disclosure of reparability of product
3,ESRS E5,E5-5,Disclosure of rates of recyclable content in product and its packaging
2,ESRS E5,E5-5,Resource outflows - waste diverted from disposal
3,ESRS E5,E5-5,Total waste generated diverted from disposal
2,ESRS E5,E5-5,Resource outflows - waste directed to disposal
3,ESRS E5,E5-5,Total waste generated directed to disposal
1,ESRS E5,E5-6,Disclosure of quantitative information about anticipated financial effects of material risks and opportunities arising from resource use and circular economy-related impacts. Phase-in provisions in accordance with Appendix C of ESRS 1 might be applied.
1,ESRS E5,E5-6,Disclosure of qualitative information about anticipated financial effects of material risks and opportunities arising from resource use and circular economy-related impacts
1,ESRS E5,E5-6,"Disclosure of critical assumptions used to quantify anticipated financial effects, sources and level of uncertainty of assumptions (resource use and circular economy)"
1,ESRS E5,E5-6,Anticipated financial effects from material resource use and circular economy-related risks and opportunities - time horizons
2,ESRS E5,E5-6,Disclosure of quantitative information about anticipated financial effects of material risks and opportunities arising from resource use and circular economy-related impacts. Phase-in provisions in accordance with Appendix C of ESRS 1 might be applied.
2,ESRS E5,E5-6,Disclosure of qualitative information about anticipated financial effects of material risks and opportunities arising from resource use and circular economy-related impacts
2,ESRS E5,E5-6,"Description of effects considered, impacts and dependencies to which they relate and time horizons in which they are likely to materialise (resource use and circular economy)"
1,ESRS E3,E3-2,Minimum Disclosure Requirement - actions related to water and marine resources
2,ESRS E3,E3-2,Name or identifier of action (plan)
2,ESRS E3,E3-2,"Name or identifier of related impacts, risks and opportunities"
2,ESRS E3,E3-2,Name or identifier of related policy
2,ESRS E3,E3-2,Disclosure of key action
3,ESRS E3,E3-2,Status of key action
3,ESRS E3,E3-2,Time horizon under which key action is to be completed
3,ESRS E3,E3-2,Year when key action is to be completed
2,ESRS E3,E3-2,Disclosure of expected outcomes of key action and how its implementation contributes to achievement of policy objectives and targets
2,ESRS E3,E3-2,Description of scope of key action
2,ESRS E3,E3-2,Key action is taken to provide for and cooperate in or support provision of remedy for those harmed by actual material impacts
2,ESRS E3,E3-2,Disclosure of quantitative and qualitative information regarding progress of actions or action plans disclosed in prior periods
2,ESRS E3,E3-2,Layer in mitigation hierarchy to which action can be allocated to (water and marine resources)
2,ESRS E3,E3-2,Action relates to areas at water risk
2,ESRS E3,E3-2,Action relates to areas of high-water stress
2,ESRS E3,E3-2,Information about specific collective action for water and marine resources
1,ESRS E3,E3-2,Minimum Disclosure Requirement - resources related to water and marine resources
2,ESRS E3,E3-2,Disclosure of significant operational expenditures (Opex) and (or) capital expenditures (Capex) required for implementation of action plan
3,ESRS E3,E3-2,Name or identifier of action (plan)
3,ESRS E3,E3-2,Description of type of current and future financial and other resources allocated to action plan
3,ESRS E3,E3-2,Ability to implement action or action plan depends on specific preconditions
3,ESRS E3,E3-2,Explanation of how current financial resources relate to most relevant amounts presented in financial statements
1,ESRS E3,E3-2,Minimum Disclosure Requirement - resources related to water and marine resources - detailed
2,ESRS E3,E3-2,Financial resources allocated to action plan (OpEx)
2,ESRS E3,E3-2,Financial resources allocated to action plan (CapEx)
2,ESRS E3,E3-2,Layer in mitigation hierarchy to which resources can be allocated to (water and marine resources)
2,ESRS E3,E3-2,Resources relate to areas at water risk
2,ESRS E3,E3-2,Resources relate to areas of high-water stress
1,ESRS E3,E3-1,Minimum Disclosure Requirement - policies related to water and marine resources
2,ESRS E3,E3-1,Name or identifier of policy
2,ESRS E3,E3-1,Sustainability matters addressed by policy for water and marine resources
2,ESRS E3,E3-1,"Name or identifier of related impacts, risks and opportunities"
2,ESRS E3,E3-1,Description of key contents of policy
2,ESRS E3,E3-1,Description of scope of policy or of its exclusions
2,ESRS E3,E3-1,Description of most senior level in organisation that is accountable for implementation of policy
2,ESRS E3,E3-1,Disclosure of third-party standards or initiatives that are respected through implementation of policy
2,ESRS E3,E3-1,Description of consideration given to interests of key stakeholders in setting policy
2,ESRS E3,E3-1,Policy is made available to potentially affected stakeholders and stakeholders who need to help implement it
3,ESRS E3,E3-1,Explanation of how policy is made available to potentially affected stakeholders and stakeholders who need to help implement it
2,ESRS E3,E3-1,Policy addresses water management
3,ESRS E3,E3-1,Disclosure of how policy addresses water management
3,ESRS E3,E3-1,Policy addresses use and sourcing of water and marine resources in own operations
3,ESRS E3,E3-1,Policy addresses water treatment as step towards more sustainable sourcing of water
3,ESRS E3,E3-1,Policy addresses prevention and abatement of water pollution resulting from activities
2,ESRS E3,E3-1,Policy addresses product and service design in view of addressing water-related issues and preservation of marine resources
3,ESRS E3,E3-1,Disclosure of how policy addresses product and service design in view of addressing water-related issues and preservation of marine resources
2,ESRS E3,E3-1,Policy addresses commitment to reduce material water consumption in areas at water risk in own operations and along upstream and downstream value chain
3,ESRS E3,E3-1,Disclosure of how policy addresses commitment to reduce material water consumption in areas at water risk in own operations and along upstream and downstream value chain
2,ESRS E3,E3-1,Policy prevents further deterioration and protects and enhances status of water bodies and aquatic ecosystems
2,ESRS E3,E3-1,Policy promotes sustainable water use based on long-term protection of available water resources
2,ESRS E3,E3-1,Policy aims at enhanced protection and improvement of aquatic environment
2,ESRS E3,E3-1,Policy promotes good environmental status of marine water
2,ESRS E3,E3-1,Policy promotes reduction of water withdrawals and water discharges
2,ESRS E3,E3-1,Policy contributes to good ecological and chemical quality of surface water bodies and good chemical quality and quantity of groundwater bodies
2,ESRS E3,E3-1,Policy minimises material impacts and risks and implements mitigation measures that aim to maintain value and functionality of priority services and to increase resource efficiency on own operations
2,ESRS E3,E3-1,Policy avoids impacts on affected communities
1,ESRS E3,E3-1,At least one of undertaking sites is located in area of high-water stress and is not covered by policy
2,ESRS E3,E3-1,Disclosure of reasons for not having adopted policy in areas of high-water stress
2,ESRS E3,E3-1,Disclosure of timeframe in which policy in areas of high-water stress will be adopted
1,ESRS E3,E3-1,Policies or practices related to sustainable oceans and seas have been adopted
1,ESRS E3,E3-4,"Disclosure of information about water consumption performance related to material impacts, risks and opportunities"
2,ESRS E3,E3-4,Water consumption
3,ESRS E3,E3-4,Total water consumption
4,ESRS E3,E3-4,Total water consumption in areas at water risk
5,ESRS E3,E3-4,Total water consumption in areas of high-water stress
3,ESRS E3,E3-4,Total water recycled and reused
3,ESRS E3,E3-4,Total water stored
3,ESRS E3,E3-4,Changes in water storage
3,ESRS E3,E3-4,"Disclosure of contextual information related to water consumption, water recycled and reused, water stored and changes in water storage and how data have been compiled"
4,ESRS E3,E3-4,Data sources (water consumption)
4,ESRS E3,E3-4,Data sources (water recycled and reused)
4,ESRS E3,E3-4,Data sources (water stored)
4,ESRS E3,E3-4,Percentage of data sourced from direct measurement (water consumption)
4,ESRS E3,E3-4,Percentage of data from sampling and extrapolation (water consumption)
4,ESRS E3,E3-4,Percentage of data from best estimates (water consumption)
3,ESRS E3,E3-4,Water intensity (total water consumption per net revenue)
3,ESRS E3,E3-4,Disclosure of additional water intensity ratio
3,ESRS E3,E3-4,Water withdrawals
3,ESRS E3,E3-4,Water discharges
2,ESRS E3,E3-4,Water consumption - additional breakdowns
3,ESRS E3,E3-4,Total water consumption
4,ESRS E3,E3-4,Total water consumption in areas at water risk
5,ESRS E3,E3-4,Total water consumption in areas of high-water stress
3,ESRS E3,E3-4,Total water recycled and reused
3,ESRS E3,E3-4,Total water stored
3,ESRS E3,E3-4,Changes in water storage
3,ESRS E3,E3-4,Water intensity (total water consumption per net revenue)
3,ESRS E3,E3-4,Disclosure of additional water intensity ratio
3,ESRS E3,E3-4,Water withdrawals
3,ESRS E3,E3-4,Water discharges
1,ESRS E3,E3-3,Minimum Disclosure Requirement - targets related to water and marine resources
2,ESRS E3,E3-3,Disclosure of measurable outcome-oriented and time-bound target
3,ESRS E3,E3-3,Name or identifier of target
3,ESRS E3,E3-3,"Name or identifier of related impacts, risks and opportunities"
3,ESRS E3,E3-3,Name or identifier of related policy
3,ESRS E3,E3-3,Measurable target (absolute value)
3,ESRS E3,E3-3,Measurable target (percentage)
3,ESRS E3,E3-3,Absolute or relative target
3,ESRS E3,E3-3,ESRS metric(s) used for target
3,ESRS E3,E3-3,Description of scope of target
3,ESRS E3,E3-3,Baseline value of measurable target (absolute value)
3,ESRS E3,E3-3,Baseline value of measurable target (percentage)
3,ESRS E3,E3-3,Base year from which progress is measured
3,ESRS E3,E3-3,Period to which target applies
3,ESRS E3,E3-3,Indication of milestones or interim targets
3,ESRS E3,E3-3,Description of methodologies and significant assumptions used to define target
3,ESRS E3,E3-3,Target related to environmental matters is based on conclusive scientific evidence
3,ESRS E3,E3-3,Stakeholders have been involved in target setting
4,ESRS E3,E3-3,Disclosure of how stakeholders have been involved in target setting
3,ESRS E3,E3-3,"Description of any changes in target and corresponding metrics or underlying measurement methodologies, significant assumptions, limitations, sources and adopted processes to collect data"
3,ESRS E3,E3-3,Description of performance against disclosed target
4,ESRS E3,E3-3,Measurable target current progress (absolute value)
4,ESRS E3,E3-3,Measurable target current progress (percentage)
4,ESRS E3,E3-3,Progress is in line with what had been initially planned
3,ESRS E3,E3-3,"Target relates to management of material impacts, risks and opportunities related to areas at water risk, including improvement of water quality"
4,ESRS E3,E3-3,"Disclosure of how target relates to management of material impacts, risks and opportunities related to areas at water risk, including improvement of water quality"
3,ESRS E3,E3-3,"Target relates to responsible management of marine resources impacts, risks and opportunities, including nature and quantity of marine resources-related commodities used by undertaking"
4,ESRS E3,E3-3,"Disclosure of how target relates to responsible management of marine resources impacts, risks and opportunities, including nature and quantity of marine resources-related commodities used by undertaking"
3,ESRS E3,E3-3,"Target relates to reduction of water consumption, including in areas at water risk and in areas of high water-stress"
4,ESRS E3,E3-3,"Disclosure of how target relates to reduction of water consumption, including in areas at water risk and in areas of high water-stress"
3,ESRS E3,E3-3,Ecological thresholds and entity-specific allocations were taken into consideration when setting water and marine resources target
4,ESRS E3,E3-3,Disclosure of ecological thresholds identified and methodology used to identify ecological thresholds (water and marine resources)
4,ESRS E3,E3-3,Ecological thresholds are entity-specific (water and marine resources)
5,ESRS E3,E3-3,Disclosure of how ecological entity-specific thresholds were determined (water and marine resources)
4,ESRS E3,E3-3,Disclosure of how responsibility for respecting identified ecological thresholds is allocated (water and marine resources)
3,ESRS E3,E3-3,Water and marine resources-related target is mandatory (required by legislation)
3,ESRS E3,E3-3,Target relates to reduction of water withdrawals
3,ESRS E3,E3-3,Target relates to reduction of water discharges
3,ESRS E3,E3-3,Water and marine resources-related target addresses shortcomings related to Substantial Contribution criteria for Water and Marine Resources
3,ESRS E3,E3-3,Water and marine resources-related target addresses shortcomings related to Do No Significant Harm criteria for Water and Marine Resources
1,ESRS E3,E3-3,Minimum Disclosure Requirement - targets related to water and marine resources - targets not adopted
2,ESRS E3,E3-3,Measurable outcome-oriented targets have not been set
3,ESRS E3,E3-3,"Name or identifier of related impacts, risks and opportunities"
3,ESRS E3,E3-3,Measurable outcome-oriented targets will be set
4,ESRS E3,E3-3,Disclosure of timeframe for setting of measurable outcome-oriented targets
3,ESRS E3,E3-3,Description of reasons why there are no plans to set measurable outcome-oriented targets
3,ESRS E3,E3-3,"Effectiveness of policies and actions is tracked in relation to material sustainability-related impact, risk and opportunity"
4,ESRS E3,E3-3,"Description of processes through which effectiveness of policies and actions is tracked in relation to material sustainability-related impact, risk and opportunity"
4,ESRS E3,E3-3,Description of defined level of ambition to be achieved and of any qualitative or quantitative indicators used to evaluate progress
4,ESRS E3,E3-3,Base year from which progress is measured
4,ESRS E3,E3-3,Baseline value against which progress is considered (absolute value)
4,ESRS E3,E3-3,Baseline value against which progress is considered (percentage)
1,ESRS E3,E3.IRO-1,"Assets and activities have been screened in order to identify actual and potential water and marine resources-related impacts, risks and opportunities in own operations and upstream and downstream value chain"
2,ESRS E3,E3.IRO-1,"Disclosure of how assets and activities have been screened in order to identify actual and potential water and marine resources-related impacts, risks and opportunities in own operations and upstream and downstream value chain and methodologies, assumptions and tools used in screening"
1,ESRS E3,E3.IRO-1,Consultations have been conducted (water and marine resources)
2,ESRS E3,E3.IRO-1,Disclosure of how consultations have been conducted (water and marine resources)
1,ESRS E3,E3-5,Disclosure of quantitative information about anticipated financial effects of material risks and opportunities arising from water and marine resources-related impacts. Phase-in provisions in accordance with Appendix C of ESRS 1 might be applied.
1,ESRS E3,E3-5,Disclosure of qualitative information about anticipated financial effects of material risks and opportunities arising from water and marine resources-related impacts
1,ESRS E3,E3-5,"Disclosure of critical assumptions used to quantify anticipated financial effects, sources and level of uncertainty of assumptions (water and marine resources)"
1,ESRS E3,E3-5,Anticipated financial effects from material water and marine resources-related risks and opportunities - time horizons
2,ESRS E3,E3-5,Disclosure of quantitative information about anticipated financial effects of material risks and opportunities arising from water and marine resources-related impacts. Phase-in provisions in accordance with Appendix C of ESRS 1 might be applied.
2,ESRS E3,E3-5,Disclosure of qualitative information about anticipated financial effects of material risks and opportunities arising from water and marine resources-related impacts
2,ESRS E3,E3-5,"Description of effects considered, related impacts and dependencies and time horizons in which they are likely to materialise (water and marine resources)"
1,ESRS 2,ESRS2,Policies and (or) actions have not been adopted
2,ESRS 2,ESRS2,Policies and (or) actions not adopted
3,ESRS 2,ESRS2,Disclosure of reasons for not having adopted policies
3,ESRS 2,ESRS2,Disclosure of timeframe for adoption of policies
3,ESRS 2,ESRS2,Disclosure of reasons for not having adopted actions
3,ESRS 2,ESRS2,Disclosure of timeframe for adoption of actions
1,ESRS S2,S2.SBM-3,"Disclosure of material impacts, risks and opportunities and how they interact with strategy and business model"
2,ESRS S2,S2.SBM-3,"Material impacts, risks and opportunities and their interaction with strategy and business model (S2)"
3,ESRS S2,S2.SBM-3,Description of material impacts resulting from materiality assessment
4,ESRS S2,S2.SBM-3,Actual and potential impacts on own workforce / value chain workers / affected communities / consumers and end-users originate from or are connected to strategy and business models
5,ESRS S2,S2.SBM-3,Disclosure of how actual and potential impacts on own workforce / value chain workers / affected communities / consumers and end-users originate from or are connected to strategy and business models
4,ESRS S2,S2.SBM-3,Actual and potential impacts on own workforce / value chain workers / affected communities / consumers and end-users inform and contribute to adapting strategy and business model
5,ESRS S2,S2.SBM-3,Disclosure of how actual and potential impacts on own workforce / value chain workers / affected communities / consumers and end-users inform and contribute to adapting strategy and business model
4,ESRS S2,S2.SBM-3,All people in own workforce / value chain workers / affected communities / consumers and end-users who could be materially impacted by undertaking are included in scope of disclosure under ESRS 2
5,ESRS S2,S2.SBM-3,Description of types of employees and non-employees in own workforce / value chain workers / affected communities / consumers and end-users subject to material impacts
6,ESRS S2,S2.SBM-3,Type of value chain workers subject to material impacts
6,ESRS S2,S2.SBM-3,"Understanding of how people in own workforce / value chain workers with particular characteristics, working in particular contexts, or undertaking particular activities may be at greater risk of harm has been developed"
7,ESRS S2,S2.SBM-3,"Disclosure of how understanding of how people in own workforce / value chain workers with particular characteristics, working in particular contexts, or undertaking particular activities may be at greater risk of harm has been developed"
5,ESRS S2,S2.SBM-3,"Disclosure of geographies or commodities for which there is significant risk of child labour, or of forced labour or compulsory labour, among workers in undertaking's value chain"
5,ESRS S2,S2.SBM-3,Material negative impacts occurrence (value chain workers / affected communities / consumers and end-users)
5,ESRS S2,S2.SBM-3,Description of activities that result in positive impacts and types of employees and non-employees in own workforce / value chain workers / affected communities / consumers and end-users that are positively affected or could be positively affected
5,ESRS S2,S2.SBM-3,Disclosure of specific countries or regions where positive impacts for own workforce / value chain workers / affected communities / consumers and end-users occur
6,ESRS S2,S2.SBM-3,Countries where positive impacts for own workforce / value chain workers / affected communities / consumers and end-users occur
3,ESRS S2,S2.SBM-3,Description of material risks and (or) opportunities resulting from materiality assessment
4,ESRS S2,S2.SBM-3,Disclosure of relationship between material risks and opportunities arising from impacts and dependencies on own workforce / value chain workers / affected communities / consumers and end-users and strategy and business model
5,ESRS S2,S2.SBM-3,Material risks and opportunities arising from impacts and dependencies on people in own workforce / value chain workers / affected communities / consumers and end-users relate to specific groups
1,ESRS S2,S2-1,Policies related to value chain workers
2,ESRS S2,S2-1,"Disclosure of policies adopted to manage material impacts on own workforce / value chain workers / affected communities / consumers and end-users, as well as associated material risks and opportunities"
3,ESRS S2,S2-1,Description of relevant human rights policy commitments
